timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1520507541255,277,HTTP Request,200,,Thread Group 1-2,text,true,,161,118,100,100,276,0,32
1520507517466,24090,HTTP Request,200,,Thread Group 1-91,text,true,,161,118,100,100,24090,0,23814
1520507517539,24018,HTTP Request,200,,Thread Group 1-65,text,true,,161,118,100,100,24018,0,23744
1520507541265,299,HTTP Request,200,,Thread Group 1-81,text,true,,161,118,100,100,258,0,1
1520507541368,201,HTTP Request,200,,Thread Group 1-84,text,true,,161,118,100,100,201,0,0
1520507541258,281,HTTP Request,200,,Thread Group 1-82,text,true,,161,118,100,100,280,0,0
1520507541215,322,HTTP Request,200,,Thread Group 1-78,text,true,,161,118,100,100,315,0,10
1520507521956,19579,HTTP Request,200,,Thread Group 1-40,text,true,,161,118,100,100,19578,0,19317
1520507541300,273,HTTP Request,200,,Thread Group 1-9,text,true,,161,118,100,100,242,0,101
1520507541267,323,HTTP Request,200,,Thread Group 1-87,text,true,,161,118,100,100,321,0,18
1520507541284,312,HTTP Request,200,,Thread Group 1-57,text,true,,161,118,100,100,277,0,131
1520507541381,224,HTTP Request,200,,Thread Group 1-95,text,true,,161,118,100,100,224,0,1
1520507541366,241,HTTP Request,200,,Thread Group 1-50,text,true,,161,118,100,100,240,0,0
1520507516198,25411,HTTP Request,200,,Thread Group 1-15,text,true,,161,118,100,100,25411,0,25036
1520507519361,22255,HTTP Request,200,,Thread Group 1-53,text,true,,161,118,100,100,22160,0,21851
1520507541356,264,HTTP Request,200,,Thread Group 1-23,text,true,,161,118,100,100,264,0,0
1520507516217,25420,HTTP Request,200,,Thread Group 1-49,text,true,,161,118,100,100,25419,0,25050
1520507541609,57,HTTP Request,200,,Thread Group 1-15,text,true,,161,118,100,100,57,0,1
1520507517949,23722,HTTP Request,200,,Thread Group 1-5,text,true,,161,118,100,100,23710,0,23340
1520507541597,80,HTTP Request,200,,Thread Group 1-57,text,true,,161,118,100,100,80,0,10
1520507541566,125,HTTP Request,200,,Thread Group 1-83,text,true,,161,118,100,100,125,0,56
1520507541210,484,HTTP Request,200,,Thread Group 1-85,text,true,,161,118,100,100,484,0,0
1520507504595,37105,HTTP Request,200,,Thread Group 1-27,text,true,,161,118,100,100,36918,0,36613
1520507541385,319,HTTP Request,200,,Thread Group 1-34,text,true,,161,118,100,100,319,0,32
1520507493183,11397,HTTP Request,200,,Thread Group 1-59,text,true,,161,118,100,100,11397,0,0
1520507460090,21258,HTTP Request,200,,Thread Group 1-1,text,true,,161,118,100,100,19854,0,8292
1520507482006,22576,HTTP Request,200,,Thread Group 1-32,text,true,,161,118,100,100,22576,0,1
1520507493171,11412,HTTP Request,200,,Thread Group 1-48,text,true,,161,118,100,100,11411,0,1
1520507459038,22310,HTTP Request,200,,Thread Group 1-5,text,true,,161,118,100,100,22036,0,9982
1520507494598,9985,HTTP Request,200,,Thread Group 1-55,text,true,,161,118,100,100,9985,0,0
